asin,title,category_primary,all_categories,price,recovered_image_url,canonical_source_url,url_count,has_clean_url,has_trashed_dupe
B01DXW0FFG,"BASON LIGHTING TV Backlight, 9.8ft TV Light Strip for 32-58 inch TV/Monitor Backlight, SMD 5050 USB LED Light Strip with Remote, RGB 4096 DIY Colors TV LED for Gaming Lights, Ambient Lighting Kit.",gaming-gear,consoles-and-vr;gaming-gear,9.98,https://m.media-amazon.com/images/I/51tjHdWCAWL.jpg,https://techwhizmart.com/product/bason-lighting-tv-backlight-9-8ft-tv-light-strip-for-32-58-inch-tv-monitor-backlight-smd-5050-usb-led-light-strip-with-remote-rgb-4096-diy-colors-tv-led-for-gaming-lights-ambient-lighting-kit/,1,True,False
B01H6GUCCQ,"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Nintendo",gaming-gear,consoles-and-vr;gaming-gear,21.99,https://m.media-amazon.com/images/I/51q0meZK6WL.jpg,https://techwhizmart.com/product/bengoo-g9000-stereo-gaming-headset-for-ps4-pc-xbox-one-ps5-controller-noise-cancelling-over-ear-headphones-with-mic-led-light-bass-surround-soft-memory-earmuffs-blue/,1,True,False
B07JPF4TKK,Blue Light Blocking Glasses For Men/Women Anti-Fatigue Computer Monitor Gaming Glasses Reduce Eye Strain Gamer Glasses,gaming-gear,consoles-and-vr;gaming-gear,24.97,https://m.media-amazon.com/images/I/31LDwUGbAPS.jpg,https://techwhizmart.com/product/blue-light-blocking-glasses-for-men-women-anti-fatigue-computer-monitor-gaming-glasses-reduce-eye-strain-gamer-glasses/,1,True,False
B0BNV1BC52,"Bzu Topographic Contour Extended Big Mouse Pad Large,XL Gaming Mouse Pad Desk Pad,31.5x11.8inch Long Computer Keyboard Mouse Mat Mousepad with 3mm Non-Slip Base and Stitched Edge for Home Office Work",gaming-gear,consoles-and-vr;gaming-gear,9.99,https://m.media-amazon.com/images/I/5102mmJqoxL.jpg,https://techwhizmart.com/product/bzu-topographic-contour-extended-big-mouse-pad-largexl-gaming-mouse-pad-desk-pad31-5x11-8inch-long-computer-keyboard-mouse-mat-mousepad-with-3mm-non-slip-base-and-stitched-edge-for-home-office-work/,1,True,False
B08DHMMBFF,ComfiLife Ergonomic Under Desk Foot Rest for Office Use – Adjustable Height Memory Foam Foot Stool Under Desk for Office Chair & Gaming Chair – for Back & Hip Pain Relief (Black),gaming-gear,consoles-and-vr;gaming-gear,39.95,https://m.media-amazon.com/images/I/41w3WNyyCxL.jpg,https://techwhizmart.com/product/comfilife-ergonomic-under-desk-foot-rest-for-office-use-adjustable-height-memory-foam-foot-stool-under-desk-for-office-chair-gaming-chair-for-back-hip-pain-relief-black/,1,True,False
B0B1DPWV2X,"CryCarrot Gamer Gifts for Teenage Boys, Gaming Headphone Stand for Men, Gaming Room Decor Wooden Headset Holder, Son Boyfriend Husband Game Lover Gifts -Sorry I Can't Hear You I'm Gaming",gaming-gear,consoles-and-vr;gaming-gear,17.99,https://m.media-amazon.com/images/I/41+j1PbcWFL.jpg,https://techwhizmart.com/product/gamer-gifts-for-teenage-boys-gaming-headphone-stand-for-men-gaming-room-decor-wooden-headset-holder-son-boyfriend-husband-game-lover-gifts-sorry-i-cant-hear-you-im-gaming/,1,True,False
B09N59Y2JN,"Exquisite Gaming: Call Of Duty: Ghost Warzone - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, COD Licensed Figure",gaming-gear,consoles-and-vr;gaming-gear,24.99,https://m.media-amazon.com/images/I/417+pu9JHxL.jpg,https://techwhizmart.com/product/exquisite-gaming-call-of-duty-ghost-warzone-original-mobile-phone-gaming-controller-holder-device-stand-cable-guys-cod-licensed-figure/,1,True,False
B08KJJFFY8,"Exquisite Gaming: Call of Duty: Monkeybomb - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Licensed Figure",gaming-gear,consoles-and-vr;gaming-gear,24.99,https://m.media-amazon.com/images/I/31+Q2DJ5YrL.jpg,https://techwhizmart.com/product/exquisite-gaming-call-of-duty-monkeybomb-original-mobile-phone-gaming-controller-holder-device-stand-cable-guys-licensed-figure/,1,True,False
B0BZP95YB5,"FIFINE Gaming Audio Mixer, Streaming RGB PC Mixer with XLR Microphone Interface, Individual Control, Volume Fader, Mute Button, 48V Phantom Power, for Podcast/Recording/Vocal/Game Voice-AmpliGame SC3",gaming-gear,consoles-and-vr;gaming-gear,39.99,https://m.media-amazon.com/images/I/51d8QP-91yL.jpg,https://techwhizmart.com/product/fifine-gaming-audio-mixer-streaming-rgb-pc-mixer-with-xlr-microphone-interface-individual-control-volume-fader-mute-button-48v-phantom-power-for-podcast-recording-vocal-game-voice-ampligame-sc3/,1,True,False
B09Q2ZZGH2,"FIFINE Gaming PC USB Microphone, Podcast Condenser Mic with Boom Arm, Pop Filter, Mute Button for Streaming, Twitch, Online Chat, RGB Computer Mic for PC Gamer Youtuber-AmpliGame A6T",gaming-gear,consoles-and-vr;gaming-gear,49.99,https://m.media-amazon.com/images/I/41qZiOlZjjL.jpg,https://techwhizmart.com/product/fifine-gaming-pc-usb-microphone-podcast-condenser-mic-with-boom-arm-pop-filter-mute-button-for-streaming-twitch-online-chat-rgb-computer-mic-for-pc-gamer-youtuber-ampligame-a6t/,1,True,False
B09JG62KDJ,"FIFINE Gaming USB Microphone for PC PS5, Condenser Mic with Quick Mute, RGB Indicator, Tripod Stand, Pop Filter, Shock Mount, Gain Control for Streaming Discord Twitch Podcasts Videos- AmpliGame",gaming-gear,consoles-and-vr;gaming-gear,32.99,https://m.media-amazon.com/images/I/41uGfHXXV-L.jpg,https://techwhizmart.com/product/fifine-gaming-usb-microphone-for-pc-ps5-condenser-mic-with-quick-mute-rgb-indicator-tripod-stand-pop-filter-shock-mount-gain-control-for-streaming-discord-twitch-podcasts-videos-ampligame/,1,True,False
B07Y1C6GDS,FIFINE Studio Condenser USB Microphone Computer PC Microphone Kit with Adjustable Boom Arm Stand Shock Mount for Instruments Voice Overs Recording Podcasting YouTube Vocal Gaming Streaming-T669,gaming-gear,consoles-and-vr;gaming-gear,39.99,https://m.media-amazon.com/images/I/41aHoUBIwNL.jpg,https://techwhizmart.com/product/fifine-studio-condenser-usb-microphone-computer-pc-microphone-kit-with-adjustable-boom-arm-stand-shock-mount-for-instruments-voice-overs-recording-podcasting-youtube-vocal-gaming-streaming-t669/,1,True,False
B0BMFQP2ZZ,"FIFINE USB/XLR Dynamic Microphone for Podcast Recording, PC Computer Gaming Streaming Mic with RGB Light, Mute Button, Headphones Jack, Desktop Stand, Vocal Mic for Singing YouTube-AmpliGame AM8",gaming-gear,consoles-and-vr;gaming-gear,46.74,https://m.media-amazon.com/images/I/31LOPDus19L.jpg,https://techwhizmart.com/product/fifine-xlr-usb-dynamic-microphone-for-podcast-recording-pc-computer-gaming-streaming-mic-with-rgb-light-mute-button-headphones-jack-desktop-stand-vocal-mic-for-singing-youtube-ampligame-am8/,1,True,False
B0BGYK6SVQ,"Frigidaire EFMIS179 Gaming Light Up Mini Beverage Refrigerator, Stealth",gaming-gear,consoles-and-vr;gaming-gear,39.99,https://m.media-amazon.com/images/I/61JAkmwzIQL.jpg,https://techwhizmart.com/product/frigidaire-efmis179-gaming-light-up-mini-beverage-refrigerator-stealth/,1,True,False
B0C813CQ2Y,Gaming Controller Holder One More Life | Controller Holder Figure | Headphone Stand & Controller | Gaming Accessories for Desk | Gamer Gifts,gaming-gear,consoles-and-vr;gaming-gear,36.90,https://m.media-amazon.com/images/I/41zIultZCkL.jpg,https://techwhizmart.com/product/gaming-controller-holder-one-more-life-controller-holder-figure-headphone-stand-controller-gaming-accessories-for-desk-gamer-gifts/,1,True,False
B092CT6VKL,Gaming Desk Computer Desk 47 Inch Home Office Desk Extra Large Modern Ergonomic Black PC Carbon Fiber Table Gamer Workstation with Cup Holder Headphone Hook,gaming-gear,consoles-and-vr;gaming-gear,29.99,https://m.media-amazon.com/images/I/51aAusyQMSL.jpg,https://techwhizmart.com/product/gaming-desk-computer-desk-47-inch-home-office-desk-extra-large-modern-ergonomic-black-pc-carbon-fiber-table-gamer-workstation-with-cup-holder-headphone-hook/,1,True,False
B0CHJQ6XQ5,"Gaming Headphone Stand PC Accessories - RGB Headset Stand with 2 USB Charger, Cool LED Headphone Holder PC Gaming Accessories Gift for Boys Men Gamers, Computer Game Hardware for Desk",gaming-gear,consoles-and-vr;gaming-gear,29.97,https://m.media-amazon.com/images/I/41XHDE1oI-L.jpg,https://techwhizmart.com/product/gaming-headphone-stand-pc-accessories-rgb-headset-stand-with-2-usb-charger-cool-led-headphone-holder-pc-gaming-accessories-gift-for-boys-men-gamers-computer-game-hardware-for-desk/,1,True,False
B09FXFSY6R,"Gaming Headset for PC, Ps5, Switch, Mobile, Gaming Headphones for Nintendo with Noise Canceling Mic, Deep Bass Stereo Sound",gaming-gear,consoles-and-vr;gaming-gear,18.99,https://m.media-amazon.com/images/I/51yg9upokuL.jpg,https://techwhizmart.com/product/gaming-headset-for-pc-ps5-switch-mobile-gaming-headphones-for-nintendo-with-noise-canceling-mic-deep-bass-stereo-sound/,1,True,False
B0B8HWWB6B,"Glow in The Dark Blanket Game Controller Throw Blanket, Gamer Gifts Toys for Kids Boyfriend, Boys Teen Soft Cozy Gaming Blanket Gamer Gifts Game Decor Blankets for Home Bedroom 50""x60""",gaming-gear,consoles-and-vr;gaming-gear,25.99,https://m.media-amazon.com/images/I/51wbDfLp9wL.jpg,https://techwhizmart.com/product/glow-in-the-dark-blanket-game-controller-throw-blanket-gamer-gifts-toys-for-kids-boyfriend-boys-teen-soft-cozy-gaming-blanket-gamer-gifts-game-decor-blankets-for-home-bedroom-50x60/,1,True,False
